"price","tmsp"
"236.85",1433015100
"236.85",1433016900
"236.9201",1433021400
"237.3991",1433023200
"237.4758",1433028600
"237.5079",1433038500
"237.4447",1433039400
"237.4447",1433042100
"237.3106",1433043000
"237.4421",1433048400
"238",1433051100
"237.3077",1433053800
"237.3077",1433054700
"237.3069",1433055600
"236.9202",1433056500
"236.9202",1433059200
"237.3072",1433061900
"237.3072",1433062800
"236.9202",1433065500
"236.6165",1433066400
"236",1433067300
"236.6165",1433068200
"236",1433070000
"235.227",1433070900
"235",1433073600
"235.227",1433074500
"234.91676",1433076300
"235",1433077200
"234.5839",1433078100
"235",1433079000
"235",1433079900
"235",1433080800
"235",1433082600
"235",1433083500
"235",1433085300
"235.8482",1433087100
"235.8482",1433088900
"236.3009",1433089800
"235.8483",1433092500
"236.3657",1433093400
"236.3657",1433094300
"236.3657",1433095200
"235.2972",1433097900
"235.2972",1433098800
"235.2972",1433099700
"235.1418",1433100600
"235.1419",1433102400
"235.1419",1433103300
"235.0813",1433106000
"234.2845",1433111400
"234.2845",1433112300
"234.2845",1433113200
"233.4984",1433116800
"234.0275",1433118600
"233",1433121300
"232.1004",1433123100
"234.5205",1433124900
"232.5205",1433125800
"234.5205",1433126700
"234.9726",1433128500
"234.9726",1433129400
"234.5204",1433132100
"233.9999",1433137500
"234.6244",1433138400
"235.0799",1433141100
"235.0799",1433142000
"235.0799",1433142900
"234.2431",1433143800
"234",1433144700
"233",1433145600
"233",1433146500
"232.1004",1433147400
"233",1433148300
"232.5",1433150100
"233",1433152800
"233",1433153700
"232.9999",1433154600
"232",1433155500
"232.0091",1433160900
"232.0091",1433161800
"231.4525",1433162700
"231.1",1433164500
"231.5027",1433165400
"230.9198",1433167200
"232.0482",1433168100
"232.3822",1433169000
"230.0101",1433171700
"229",1433172600
"227.0001",1433173500
"227.9999",1433175300
"228.7082",1433176200
"229",1433177100
"230",1433178900
"226.3891",1433179800
"226.4",1433182500
"227.9999",1433183400
